country	isocode	year	smfn	iwmfn	pwmfn	lnsmfn	l_lnsmfn	dlnsmfn	lniwmfn	l_lniwmfn	dlniwmfn	lnpwmfn	l_lnpwmfn	dlnpwmfn	lngdppc	wlrca	wlxm	lsitc3	wlrcac	wlxmc	lsitc3c	tradeshare	fsharec	f_rca	f_xm	f_sitc	growth	dunemp	dxr	imf	polity	govcons	cu	eu	checks2a	checks3	polcon3	polcon5	xicrca
malaysia	MYS	1998	17.4601	8.09406	9.79587	2.85992	2.6029	0.257017	2.09113	2.43585	-0.344716	2.28196	2.63887	-0.356906	8.04046	0.9418	0.8277	0.6997	0.27773	0.263283	-0.0018933	28.8688	6.22448	1.72873	1.6388	-0.0117851	0.352347	0.3	-0.230754	0	3.83333	13.794	0	0	7	6	0.515428	0.640639	1.55313
malaysia	MYS	1993	13.5029	11.4255	13.9973	2.6029	NA	NA	2.43585	NA	NA	2.63887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.794	NA	NA	NA	NA	NA	NA	NA
norway	NOR	1996	2.97368	2.65919	1.91358	1.0898	1.48197	-0.392167	0.978021	1.67837	-0.700349	0.648978	1.05766	-0.408684	10.2695	0.7828	0.8159	0.7548	0.11873	0.251483	0.0532067	77.3585	54.7142	6.49622	13.7597	2.91116	0.372531	1.7	-0.0464922	0	10	20.7691	0	0	2.18182	5.18182	0.511797	0.769023	2.47756
norway	NOR	1988	4.4016	5.35681	2.87963	1.48197	NA	NA	1.67837	NA	NA	1.05766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.7691	NA	NA	NA	NA	NA	NA	NA
new zealand	NZL	1988	14.51	14.77	13.17	2.67484	NA	NA	2.6926	NA	NA	2.57794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.012	NA	NA	NA	NA	NA	NA	NA
new zealand	NZL	1996	8.68	7.53	6.21	2.16102	2.67484	-0.513817	2.01889	2.6926	-0.673703	1.82616	2.57794	-0.751781	9.61806	0.2125	0.3166	0.5613	-0.45157	-0.247817	-0.140293	22.3734	-0.270864	0.122314	0.0671249	0.0380005	0.220903	0.53	0.0840899	0	10	17.012	0	0	1.81818	3	0.321159	0.730897	1.26118
poland	POL	1992	14.4678	12.0795	14.261	2.67193	NA	NA	2.49151	NA	NA	2.65753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2905	NA	NA	NA	NA	NA	NA	NA
poland	POL	1998	24.6863	14.6262	27.6807	3.20625	2.67193	0.534319	2.68282	2.49151	0.191308	3.32073	2.65753	0.663205	8.00316	0.477	0.0869	0.6328	-0.18707	-0.477517	-0.0687934	74.2468	51.6025	-9.65329	-24.6411	-3.54991	0.337329	-3.62	0.398418	3	7.66667	19.2905	0	0	4	4.14286	0.324813	0.720834	0.531085
sweden	SWE	1996	6.57762	4.91781	4.5783	1.88367	1.54878	0.334895	1.59286	1.52568	0.0671831	1.52133	1.18795	0.333378	10.2129	0.9251	0.7819	0.8234	0.26103	0.217483	0.121807	0	-22.6443	-5.91084	-4.92474	-2.75822	0.160819	6.34	-0.0205334	0	10	27.5208	1	1	2.36364	4.54545	0.496266	0.765917	2.07105
sweden	SWE	1988	4.70571	4.59827	3.28035	1.54878	NA	NA	1.52568	NA	NA	1.18795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.5208	NA	NA	NA	NA	NA	NA	NA
thailand	THA	1993	44.1963	36.8509	42.0261	3.78864	NA	NA	3.60688	NA	NA	3.73829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.40462	NA	NA	NA	NA	NA	NA	NA
thailand	THA	1998	23.1995	15.0673	23.8857	3.14413	3.78864	-0.644512	2.71253	3.60688	-0.89435	3.17328	3.73829	-0.565011	7.60021	0.8573	0.8001	0.7201	0.19323	0.235683	0.0185066	16.5776	-6.06674	-1.17228	-1.42983	-0.112275	0.0894905	1.9	-0.171996	2	9	9.40462	0	0	5.71429	5.28571	0.474287	0.65041	1.0414
turkey	TUR	1996	10.03	8.94	11.79	2.30558	3.82886	-1.52328	2.19054	3.70549	-1.51496	2.46725	3.86367	-1.39642	7.85899	0.5357	0.3547	0.6511	-0.12837	-0.209717	-0.0504934	0	-22.6443	2.90685	4.7489	1.14339	0.641739	-2.9	0.0904177	2	8.5	10.9624	1	1	1.85714	4	0.435384	0.622986	1.2492
turkey	TUR	1988	46.01	40.67	47.64	3.82886	NA	NA	3.70549	NA	NA	3.86367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.9624	NA	NA	NA	NA	NA	NA	NA
united states	USA	1996	6.2	3.67	4.95	1.82455	1.82616	-0.0016116	1.30019	1.37877	-0.0785744	1.59939	1.53687	0.0625203	10.1712	0.6965	0.3703	0.5838	0.03243	-0.194117	-0.117793	27.9307	5.28642	0.171438	-1.02618	-0.622704	0.328917	-0.08	0	0	10	17.0202	0	0	4	4.81818	0.400338	0.852444	1.69307
united states	USA	1988	6.21	3.97	4.65	1.82616	NA	NA	1.37877	NA	NA	1.53687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.0202	NA	NA	NA	NA	NA	NA	NA
venezuela	VEN	1992	19.8536	16.0911	16.7318	2.98839	NA	NA	2.77826	NA	NA	2.81731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.42475	NA	NA	NA	NA	NA	NA	NA
venezuela	VEN	1998	12.9542	12.2648	12.8198	2.56142	2.98839	-0.426969	2.50674	2.77826	-0.271529	2.55099	2.81731	-0.266321	8.11662	0.0031	0.5969	0.4353	-0.66097	0.0324827	-0.266293	6.71151	-15.9328	10.5311	-0.51754	4.24279	-0.121828	3.7	0.752519	3	8.33333	8.42475	0	0	4	4.42857	0.392055	0.732041	0.981921

